DATE,COUNT,SECONDS
2014-03-18,16679,11354281
2014-03-19,13341,8696324
2014-03-20,19695,14141052
2014-03-21,20718,15190924
2014-03-22,19880,19153751
2014-03-23,11740,8650834
2014-03-24,13598,8555774
2014-03-25,16037,10031071
2014-03-26,14500,8872389
2014-03-27,16666,11413075
2014-03-28,18425,13536200
2014-03-29,4480,2974693
2014-03-30,7907,6050991
2014-03-31,17085,12126672
2014-04-01,23908,18437929
2014-04-02,22515,16213671
2014-04-03,26321,20359297
2014-04-04,12566,8055727
2014-04-05,18655,16735520
2014-04-06,20750,20660433
2014-04-07,14677,9971993
2014-04-08,21884,15953283
2014-04-09,26931,20760041
2014-04-10,27463,20974155
2014-04-11,26798,22205093
2014-04-12,27108,28685665
2014-04-13,26871,29631153
2014-04-14,28832,25669387
2014-04-15,10523,6664071
2014-04-16,20082,14326443
2014-04-17,22282,16623158
2014-04-18,20770,15491409
2014-04-19,24369,26957521
2014-04-20,18464,18516217
2014-04-21,27124,22613575
2014-04-22,27259,20781123
2014-04-23,26949,20064565
2014-04-24,28107,21949415
2014-04-25,27919,22663275
2014-04-26,19899,19294367
2014-04-27,21926,20812122
2014-04-28,28557,23033059
2014-04-29,18404,12156210
2014-04-30,2867,1633398
2014-05-01,26762,22976757
2014-05-02,32377,27216384
2014-05-03,25501,27677548
2014-05-04,21277,19706243
2014-05-05,30288,26163006
2014-05-06,32233,27654652
2014-05-07,32882,26217610
2014-05-08,17619,12920620
2014-05-09,22641,16691673
2014-05-10,21832,20126700
2014-05-11,28326,31905868
2014-05-12,31644,27321402
2014-05-13,32847,26453866
2014-05-14,30044,23340138
2014-05-15,26057,20290141
2014-05-16,17784,12437599
2014-05-17,29912,31768862
2014-05-18,27436,28078214
2014-05-19,31692,25503032
2014-05-20,35567,29990680
2014-05-21,34420,27649117
2014-05-22,24535,17977764
2014-05-23,24484,18957163
2014-05-24,16798,16082987
2014-05-25,25637,30845917
2014-05-26,26930,31553641
2014-05-27,32936,28496378
2014-05-28,29690,22220085
2014-05-29,33889,27093699
2014-05-30,34343,29140372
2014-05-31,27734,27729532
2014-06-01,31333,33868795
2014-06-02,34519,30414899
2014-06-03,29501,23664925
2014-06-04,36068,29957407
2014-06-05,24619,20015974
2014-06-06,37719,32873122
2014-06-07,31204,33454061
2014-06-08,30162,32697609
2014-06-09,18611,14441666
2014-06-10,33435,26779241
2014-06-11,30548,24593848
2014-06-12,29084,21958623
2014-06-13,18308,13934065
2014-06-14,28417,28569873
2014-06-15,28382,29490424
2014-06-16,34932,29905376
2014-06-17,35097,29684432
2014-06-18,35531,28906427
2014-06-19,31724,26003439
2014-06-20,34405,34482744
2014-06-21,30288,31312036
2014-06-22,29417,29268897
2014-06-23,32580,27266803
2014-06-24,35897,29586483
2014-06-25,34340,27065649
2014-06-26,34846,28369153
2014-06-27,35823,31567049
2014-06-28,28507,28914218
2014-06-29,27986,29058734
2014-06-30,33597,27815860
2014-07-01,34854,27667387
2014-07-02,26582,20110669
2014-07-03,27587,21993643
2014-07-04,13612,12647787
2014-07-05,22913,25123871
2014-07-06,23822,28900457
2014-07-07,31863,26814300
2014-07-08,32713,26127158
2014-07-09,34426,27535342
2014-07-10,36288,29851976
2014-07-11,35000,29464386
2014-07-12,28718,28783380
2014-07-13,24869,22768821
2014-07-14,25825,19551731
2014-07-15,22963,16834700
2014-07-16,35391,28781545
2014-07-17,38619,31789082
2014-07-18,36105,31318758
2014-07-19,29291,29205879
2014-07-20,30296,31005092
2014-07-21,35670,29273902
2014-07-22,36886,30160452
2014-07-23,34173,26879402
2014-07-24,36693,30255142
2014-07-25,36384,30906993
2014-07-26,27179,26827930
2014-07-27,27004,26243944
2014-07-28,33189,26793303
2014-07-29,37092,30196922
2014-07-30,37377,30402861
2014-07-31,35458,29068741
2014-08-01,32654,26502621
2014-08-02,26784,26585843
2014-08-03,25276,25031667
2014-08-04,33822,28381211
2014-08-05,34392,28368332
2014-08-06,36336,29731722
2014-08-07,36362,30222243
2014-08-08,34073,28866756
2014-08-09,31636,34997711
2014-08-10,26749,27628646
2014-08-11,33664,27821539
2014-08-12,26261,18951753
2014-08-13,27977,22194466
2014-08-14,35154,30298578
2014-08-15,32480,27058275
2014-08-16,32017,35943405
2014-08-17,27417,27555119
2014-08-18,34339,29039727
2014-08-19,35367,29550523
2014-08-20,35532,29950424
2014-08-21,33804,28077252
2014-08-22,30406,24765866
2014-08-23,26429,25864234
2014-08-24,27493,29079404
2014-08-25,32892,27216167
2014-08-26,34519,28005342
2014-08-27,33721,27669868
2014-08-28,33927,28132097
2014-08-29,31264,26695331
2014-08-30,22689,23460641
2014-08-31,18053,18464622
2016-10-01,39811,37312765
2016-10-02,41023,52907783
2016-10-03,56384,49246338
2016-10-04,60379,64464571
2016-10-05,65053,55868530
2016-10-06,67585,65958246
2016-10-07,65896,63151594
2016-10-08,34625,36789117
2016-10-09,21689,18773042
2016-10-10,52255,47249067
2016-10-11,58768,49245699
2016-10-12,57690,48407488
2016-10-13,61217,49926893
2016-10-14,60566,57581388
2016-10-15,51992,55641912
2016-10-16,48870,49633677
2016-10-17,62657,56049552
2016-10-18,68240,65051481
2016-10-19,69772,64716869
2016-10-20,63674,54236882
2016-10-21,40873,33528365
2016-10-22,25303,23974735
2016-10-23,41463,41439950
2016-10-24,55261,47485657
2016-10-25,52681,42526084
2016-10-26,52484,41911976
2016-10-27,21058,13901285
2016-10-28,46242,37579519
2016-10-29,42514,41894427
2016-10-30,37765,47113919
2016-10-31,50082,43091408
2016-11-01,55967,47686880
2016-11-02,62144,53739290
2016-11-03,59641,48620900
2016-11-04,57877,50245486
2016-11-05,48689,55362550
2016-11-06,39413,40518537
2016-11-07,49890,41001021
2016-11-08,56603,50764201
2016-11-09,38060,31068984
2016-11-10,50871,48490160
2016-11-11,45832,39330532
2016-11-12,34667,34371008
2016-11-13,36810,37503112
2016-11-14,48834,45108337
2016-11-15,22896,16417760
2016-11-16,53342,44724985
2016-11-17,53895,43523929
2016-11-18,53390,48924628
2016-11-19,41213,48698396
2016-11-20,20617,15136261
2016-11-21,32972,22511053
2016-11-22,36749,27217311
2016-11-23,34466,27275812
2016-11-24,12122,11422589
2016-11-25,20980,18428008
2016-11-26,23811,21702898
2016-11-27,24077,20195377
2016-11-28,42091,32868332
2016-11-29,14588,10914248
2016-11-30,24435,17870327
2016-12-01,43242,33395323
2016-12-02,42371,31483927
2016-12-03,29854,26289828
2016-12-04,27455,24525812
2016-12-05,35932,28437837
2016-12-06,33332,26242436
2016-12-07,38021,27126227
2016-12-08,39626,32564652
2016-12-09,33547,25054971
2016-12-10,22379,16900242
2016-12-11,17799,14968744
2016-12-12,29037,20000410
2016-12-13,39025,29705098
2016-12-14,37808,27683813
2016-12-15,25015,16270197
2016-12-16,24490,17607511
2016-12-17,6993,4977328
