DATE,COUNT,SECONDS
11/30/2017,9270,6148947
11/4/2014,6867,4663427
11/4/2015,11875,10002343
11/4/2016,14197,15127611
11/4/2017,2665,2020093
11/5/2014,7769,5567664
11/5/2015,10846,8231383
11/5/2016,12464,16177719
11/5/2017,4614,3697859
11/6/2014,5858,3817634
11/6/2015,8786,6352306
11/6/2016,12290,15486088
11/6/2017,8803,5577203
11/7/2014,6158,4392283
11/7/2015,7113,7332619
11/7/2016,12332,10208302
11/7/2017,9121,6018621
11/8/2014,4091,3875225
11/8/2015,6535,6589225
11/8/2016,10104,6885746
11/8/2017,9345,6249499
11/9/2014,3629,3218153
11/9/2015,8734,6336643
11/9/2016,9927,7322620
11/9/2017,8271,5278051
12/1/2014,3127,1820597
12/1/2015,6413,4329110
12/1/2016,6742,4215206
12/1/2017,9142,6446472
12/10/2014,3508,2200043
12/10/2015,7213,4778813
12/10/2016,1808,1213538
12/10/2017,2200,1456088
12/11/2014,3769,2502317
12/11/2015,7299,4841309
12/11/2016,687,472740
12/11/2017,5345,3176289
12/12/2014,3718,2440834
12/12/2015,4730,4150855
12/12/2016,2921,1903128
12/12/2017,4521,2642868
12/13/2014,2805,2186995
12/13/2015,2430,2100003
12/13/2016,3084,1956698
12/13/2017,5234,3164645
12/14/2014,3224,2824684
12/14/2015,4913,3374810
12/14/2016,2702,1873271
12/14/2017,5047,2942723
12/15/2014,3446,2400086
12/15/2015,6349,3883651
12/15/2016,2119,1273118
12/15/2017,4859,2864918
12/16/2014,3728,2377201
12/16/2015,5494,3603216
12/16/2016,2454,1455024
12/16/2017,3808,3015746
12/17/2014,3534,2145507
12/17/2015,5123,3205449
12/17/2016,946,571692
12/17/2017,3001,2131281
12/18/2014,3457,2133209
12/18/2015,4560,2797019
12/18/2016,506,293087
12/18/2017,6031,3854006
12/19/2014,3602,2359933
12/19/2015,2101,1330486
12/19/2016,1709,1014093
12/19/2017,7225,4589385
12/2/2014,3866,2207496
12/2/2015,4584,2850777
12/2/2016,6757,4344137
12/2/2017,6728,6379206
12/20/2014,1918,1244692
12/20/2015,2667,2031093
12/20/2016,2973,1820455
12/20/2017,4076,2426741
12/21/2014,1648,1405338
12/21/2015,3776,2585034
12/21/2016,3614,2221298
12/21/2017,5676,3397139
12/22/2014,2064,1273749
12/22/2015,4997,3191603
12/22/2016,3798,2373960
12/22/2017,4576,2908257
12/23/2014,3650,2577243
12/23/2015,3519,2350055
12/23/2016,2300,1448649
12/23/2017,1727,1116425
12/24/2014,1173,850155
12/24/2015,2133,1435358
12/24/2016,1016,674340
12/24/2017,403,306460
12/25/2014,812,987505
12/25/2015,1103,1555976
12/25/2016,364,259787
12/25/2017,240,179076
12/26/2014,2566,2659580
12/26/2015,899,722109
12/26/2016,1879,1776429
12/26/2017,779,417222
12/27/2014,1300,1039059
12/27/2015,1181,887892
12/27/2016,2764,1742924
12/27/2017,1138,632993
12/28/2014,1323,1168609
12/28/2015,622,406210
12/28/2016,3556,2525245
12/28/2017,1294,749819
12/29/2014,2682,1645682
12/29/2015,2075,1289455
12/29/2016,3039,1794126
12/29/2017,1076,679977
12/3/2014,4114,2652637
12/3/2015,4975,3029386
12/3/2016,3609,2591374
12/3/2017,6338,5972824
12/30/2014,2180,1352346
12/30/2015,1917,1362899
12/30/2016,2865,1791223
12/30/2017,548,347532
12/31/2014,1417,761921
12/31/2015,1853,1219311
12/31/2016,2005,1578080
12/31/2017,651,422224
12/4/2014,4177,2631128
12/4/2015,1415,1068063
12/4/2016,1307,809938
12/4/2017,9089,6089916
12/5/2014,4266,2711556
12/5/2015,2774,2370575
12/5/2016,5292,3436894
12/5/2017,5876,3480122
12/6/2014,2399,1743996
12/6/2015,3883,3408338
12/6/2016,6211,3842575
12/6/2017,6302,3858545
12/7/2014,1864,1190788
12/7/2015,5946,3760288
12/7/2016,5329,3261375
12/7/2017,5410,3149039
12/8/2014,2440,1363208
12/8/2015,6726,4469907
12/8/2016,4353,2477502
12/8/2017,5266,3540709
12/9/2014,3000,2077237
12/9/2015,7392,5057288
12/9/2016,4521,2809628
12/9/2017,1790,1111209
2/1/2014,242,165622
2/1/2015,141,98445
2/1/2016,5483,3804267
2/1/2017,5361,3193203
2/10/2014,882,745497
2/10/2015,2431,1580975
2/10/2016,3089,1741012
2/10/2017,4722,2728958
2/11/2014,1075,771355
2/11/2015,2626,1813229
2/11/2016,3294,2002196
2/11/2017,4023,3460651
2/12/2014,1281,1003353
2/12/2015,1710,1183264
2/12/2016,3217,1806215
2/12/2017,3325,2881857
2/13/2014,1389,960191
2/13/2015,1817,1344179
2/13/2016,1231,772525
2/13/2017,6095,3919106
2/14/2014,1338,887250
2/14/2015,619,422993
2/14/2016,589,418284
2/14/2017,6740,4576907
2/15/2014,728,484303
2/15/2015,253,144524
2/15/2016,2093,1425768
2/15/2017,5527,3274866
2/16/2014,530,467738
2/16/2015,1248,699029
2/16/2016,3542,2197697
2/16/2017,5582,3325725
2/17/2014,475,338671
2/17/2015,1897,1105671
2/17/2016,4353,2708019
2/17/2017,9042,7589836
2/18/2014,1399,1100615
2/18/2015,1402,959511
2/18/2016,4618,2983589
2/18/2017,13481,18690024
2/19/2014,2235,1548861
2/19/2015,946,491789
2/19/2016,5896,4654061
2/19/2017,11604,15978954
2/2/2014,401,286656
2/2/2015,503,1056151
2/2/2016,3064,1761685
2/2/2017,4251,2522080
2/20/2014,1005,708176
2/20/2015,1403,745957
2/20/2016,8366,10021310
2/20/2017,9763,9676317
2/21/2014,1378,1015058
2/21/2015,1135,733759
2/21/2016,2860,2138672
2/21/2017,8267,6149959
2/22/2014,1114,876819
2/22/2015,795,434362
2/22/2016,5377,3389901
2/22/2017,10448,8968536
2/23/2014,789,555993
2/23/2015,1427,829118
2/23/2016,5413,3375318
2/23/2017,5926,3859798
2/24/2014,1539,928370
2/24/2015,1865,1070913
2/24/2016,2963,1734488
2/24/2017,5099,3278389
2/25/2014,1527,1005384
2/25/2015,1647,992092
2/25/2016,4221,2503660
2/25/2017,1944,1298623
2/26/2014,1139,631112
2/26/2015,933,707512
2/26/2016,4183,2653907
2/26/2017,3223,2867812
2/27/2014,1111,602850
2/27/2015,1314,812239
2/27/2016,6033,6712203
2/27/2017,7187,5071153
2/28/2014,1473,1088060
2/28/2015,832,541138
2/28/2016,5848,6241776
2/28/2017,5813,4021374
2/29/2016,5052,3314110
2/3/2014,1212,885553
2/3/2015,804,917688
2/3/2016,4606,2900005
2/3/2017,4031,2506990
2/4/2014,1208,797539
2/4/2015,962,1017866
2/4/2016,4630,2908835
2/4/2017,2103,1343179
2/5/2014,509,325436
2/5/2015,991,1256829
2/5/2016,4449,2683320
2/5/2017,2817,2177956
2/6/2014,735,633785
2/6/2015,1455,1048676
2/6/2016,3409,2890314
2/6/2017,6063,4197532
2/7/2014,735,490930
2/7/2015,1351,1432384
2/7/2016,3020,2489405
2/7/2017,4736,2947136
2/8/2014,300,252289
2/8/2015,899,710673
2/8/2016,4150,2440636
2/8/2017,5043,3046755
2/9/2014,338,292160
2/9/2015,1732,1201631
2/9/2016,3071,1698398
2/9/2017,4127,2392469
3/1/2014,590,384362
3/1/2015,720,484903
3/1/2016,2749,1599426
3/1/2017,4456,2823753
3/10/2014,4060,3539536
3/10/2015,4990,4057439
3/10/2016,7152,4825336
3/10/2017,5192,3141197
3/11/2014,3121,2317813
3/11/2015,4937,3751283
3/11/2016,7859,6267246
3/11/2017,2352,1768264
3/12/2014,940,637772
3/12/2015,5184,4259452
3/12/2016,5580,5346557
3/12/2017,2375,1939170
3/13/2014,1742,1255575
3/13/2015,6707,6784869
3/13/2016,948,629601
3/13/2017,2535,1458544
3/14/2014,3783,3409519
3/14/2015,5753,7239375
3/14/2016,7266,5603223
3/14/2017,1746,1131655
3/15/2014,1894,2228734
3/15/2015,6171,8331012
3/15/2016,7474,5592921
3/15/2017,3598,2372691
3/16/2014,749,538366
3/16/2015,8012,8723843
3/16/2016,6410,4756232
3/16/2017,4989,3188741
3/17/2014,2354,1760724
3/17/2015,4151,3217970
3/17/2016,8112,6452530
3/17/2017,4819,3119033
3/18/2014,3684,2937229
3/18/2015,4566,3715489
3/18/2016,6975,5318494
3/18/2017,3577,2898258
3/19/2014,2015,1536620
3/19/2015,4360,3174858
3/19/2016,4726,4644875
3/19/2017,4483,4516642
3/2/2014,329,237747
3/2/2015,2134,1727126
3/2/2016,3936,2340133
3/2/2017,5258,3067462
3/20/2014,3108,2340356
3/20/2015,4967,4009046
3/20/2016,4178,3916474
3/20/2017,6533,4558087
3/21/2014,4199,3984710
3/21/2015,3739,3663703
3/21/2016,7103,5705521
3/21/2017,6920,4635808
3/22/2014,2314,2529829
3/22/2015,1801,1340094
3/22/2016,9179,7768362
3/22/2017,5512,3334352
3/23/2014,984,789621
3/23/2015,957,717676
3/23/2016,5003,3223211
3/23/2017,6127,3967036
3/24/2014,2429,1733024
3/24/2015,2123,1300084
3/24/2016,2127,1330338
3/24/2017,10105,9935034
3/25/2014,2096,1436152
3/25/2015,3026,2053747
3/25/2016,5865,4677981
3/25/2017,1675,1186857
3/26/2014,2571,1781434
3/26/2015,3487,2468964
3/26/2016,7048,8413886
3/26/2017,3463,3418033
3/27/2014,1945,1260241
3/27/2015,2234,1357540
3/27/2016,5133,6404155
3/27/2017,5846,3916556
3/28/2014,2559,1840303
3/28/2015,1890,1659496
3/28/2016,7014,5151122
3/28/2017,6608,4166209
3/29/2014,1920,1808810
3/29/2015,1211,798569
3/29/2016,9084,7452295
3/29/2017,5876,3886304
3/3/2014,963,670687
3/3/2015,1611,941003
3/3/2016,3511,2038511
3/3/2017,5156,3172508
3/30/2014,4865,6419826
3/30/2015,4279,3369634
3/30/2016,6770,5118265
3/30/2017,3195,2142655
3/31/2014,5596,5317939
3/31/2015,4233,3127671
3/31/2016,7000,5686077
3/31/2017,5115,3262590
3/4/2014,1521,1049259
3/4/2015,2179,1294394
3/4/2016,4518,2955965
3/4/2017,3141,2348314
3/5/2014,910,664646
3/5/2015,1857,1145397
3/5/2016,2768,2140673
3/5/2017,4836,4993492
3/6/2014,1614,1041774
3/6/2015,1989,1304343
3/6/2016,4285,4113529
3/6/2017,7121,4850005
3/7/2014,2522,1929585
3/7/2015,2486,2595714
3/7/2016,7556,6059089
3/7/2017,7855,5801900
3/8/2014,827,589094
3/8/2015,1817,1713252
3/8/2016,10160,9183164
3/8/2017,6622,4316572
3/9/2014,1104,910030
3/9/2015,4362,3373309
3/9/2016,8465,6484809
3/9/2017,6320,4028465
4/1/2014,3756,3194061
4/1/2015,6203,6050414
4/1/2016,5781,4090706
4/1/2017,7465,8271586
4/10/2014,5990,5272895
4/10/2015,4677,4462921
4/10/2016,1941,1379872
4/10/2017,6522,5132431
4/11/2014,8823,10254332
4/11/2015,8956,12027474
4/11/2016,8051,6500536
4/11/2017,8517,6564184
4/12/2014,10956,16094885
4/12/2015,7673,9991511
4/12/2016,7480,5359211
4/12/2017,9647,7663871
4/13/2014,3274,3723476
4/13/2015,6764,6392011
4/13/2016,8120,6215801
4/13/2017,6379,4862584
4/14/2014,1777,1213372
