DATE,COUNT,SECONDS
2015-04-25,7192,10107959
2015-04-26,10337,14666140
2015-04-27,8869,7958747
2015-04-28,10999,11162601
2015-04-29,11664,12004404
2015-04-30,10257,9089410
2015-05-01,10356,10124455
2015-05-02,12579,19266161
2015-05-03,12106,18818964
2015-05-04,11992,13481239
2015-05-05,11100,10758485
2015-05-06,11489,11254283
2015-05-07,12322,12452901
2015-05-08,13431,15598012
2015-05-09,12851,18789466
2015-05-10,11100,15906047
2015-05-11,12139,13204590
2015-05-12,12067,12107828
2015-05-13,11780,11223923
2015-05-14,12617,13940646
2015-05-15,13651,16475549
2015-05-16,11208,18052472
2015-05-17,10942,14821619
2015-05-18,10445,11132443
2015-05-19,12068,12348627
2015-05-20,12986,13523419
2015-05-21,6983,5290598
2015-05-22,12531,14741721
2015-05-23,12720,22524957
2015-05-24,13579,26741984
2015-05-25,12009,20608002
2015-05-26,11354,11728101
2015-05-27,11475,10773848
2015-05-28,11638,11331042
2015-05-29,12067,12102623
2015-05-30,12672,19472933
2015-05-31,10928,14893139
2015-06-01,8106,7945324
2015-06-02,8055,6768723
2015-06-03,9882,8267707
2015-06-04,6360,5323708
2015-06-05,11082,11191319
2015-06-06,12685,17881820
2015-06-07,11675,16649073
2015-06-08,9967,10067925
2015-06-09,11772,11421686
2015-06-10,11590,10605131
2015-06-11,11854,11681852
2015-06-12,10872,10425506
2015-06-13,11768,16387163
2015-06-14,9515,12785133
2015-06-15,9987,10471970
2015-06-16,11500,11025668
2015-06-17,11175,10394388
2015-06-18,9995,9447698
2015-06-19,12024,12423986
2015-06-20,9318,13530617
2015-06-21,8784,10890205
2015-06-22,11263,12067415
2015-06-23,9190,8231081
2015-06-24,12590,13426618
2015-06-25,11131,10901646
2015-06-26,13042,15353818
2015-06-27,3305,3224721
2015-06-28,11621,17515554
2015-06-29,12205,14529812
2015-06-30,11980,12142569
2015-07-01,11223,11619464
2015-07-02,11257,11628554
2015-07-03,12791,21757102
2015-07-04,10288,18254039
2015-07-05,12199,20736615
2015-07-06,10902,12223237
2015-07-07,12223,12198047
2015-07-08,9495,9241766
2015-07-09,11045,10889968
2015-07-10,13013,14494058
2015-07-11,12420,17759638
2015-07-12,11711,16796765
2015-07-13,10224,9876124
2015-07-14,11591,11890360
2015-07-15,12088,11916478
2015-07-16,13257,13901835
2015-07-17,12627,13361448
2015-07-18,11096,16281632
2015-07-19,10148,14165506
2015-07-20,10856,10700374
2015-07-21,11811,11660042
2015-07-22,12934,13783398
2015-07-23,12992,14679013
2015-07-24,13339,15671707
2015-07-25,12902,20231904
2015-07-26,11314,17645110
2015-07-27,10919,11892397
2015-07-28,11976,13055827
2015-07-29,12170,13167137
2015-07-30,10808,10669393
2015-07-31,12396,13135928
2015-08-01,12043,17955018
2015-08-02,11447,17900403
2015-08-03,12085,13474541
2015-08-04,11626,11610175
2015-08-05,12501,12850391
2015-08-06,12617,13519389
2015-08-07,12181,13407018
2015-08-08,12970,19834828
2015-08-09,11651,17791399
2015-08-10,10494,10802008
2015-08-11,11342,10685796
2015-08-12,12485,13002450
2015-08-13,12435,12151056
2015-08-14,12549,14726892
2015-08-15,12082,18804282
2015-08-16,10192,14281744
2015-08-17,10971,11612328
2015-08-18,11595,11324389
2015-08-19,11966,11403304
2015-08-20,10192,9559962
2015-08-21,12902,13815392
2015-08-22,12339,18233952
2015-08-23,10981,15152475
